spkid,full_name,pdes,name,class,H
20000277,   277 Elvira (A888 JA),277,Elvira,MBA,9.89
20000619,   619 Triberga (A906 UN),619,Triberga,MBA,9.89
20000627,   627 Charis (A907 EJ),627,Charis,MBA,9.89
20038050, 38050 Bias (1998 VR38),38050,Bias,TJN,9.89
20000643,   643 Scheherezade (A907 RK),643,Scheherezade,OMB,9.9
20000778,   778 Theobalda (A914 BG),778,Theobalda,MBA,9.9
20000957,   957 Camelia (A921 RF),957,Camelia,MBA,9.9
20000977,   977 Philippa (A922 GA),977,Philippa,MBA,9.9
20001323,  1323 Tugela (1934 LD),1323,Tugela,OMB,9.9
20001796,  1796 Riga (1966 KB),1796,Riga,OMB,9.9
20000449,   449 Hamburga (A899 UE),449,Hamburga,MBA,9.91
20000735,   735 Marghanna (A912 XD),735,Marghanna,MBA,9.91
20000217,   217 Eudora (A880 QA),217,Eudora,MBA,9.92
20001248,  1248 Jugurtha (1932 RO),1248,Jugurtha,MBA,9.92
20000364,   364 Isara (A893 FE),364,Isara,MBA,9.93
20000634,   634 Ute (A907 JJ),634,Ute,MBA,9.93
20001146,  1146 Biarmia (1929 JF),1146,Biarmia,MBA,9.93
20001754,  1754 Cunningham (1935 FE),1754,Cunningham,OMB,9.93
20004867,  4867 Polites (1989 SZ),4867,Polites,TJN,9.93
20012444, 12444 Prothoon (1996 GE19),12444,Prothoon,TJN,9.93
20000256,   256 Walpurga (A886 GA),256,Walpurga,MBA,9.94
20000907,   907 Rhoda (A918 VA),907,Rhoda,MBA,9.94
20016974, 16974 Iphthime (1998 WR21),16974,Iphthime,TJN,9.94
20000331,   331 Etheridgea (A892 GA),331,Etheridgea,MBA,9.95
20000368,   368 Haidea (A893 KC),368,Haidea,MBA,9.95
20000862,   862 Franzia (A917 BG),862,Franzia,MBA,9.95
20011395, 11395 Iphinous (1998 XN77),11395,Iphinous,TJN,9.95
20000252,   252 Clementina (A885 TB),252,Clementina,MBA,9.96
20000529,   529 Preziosa (A904 FB),529,Preziosa,MBA,9.96
20000607,   607 Jenny (A906 SH),607,Jenny,MBA,9.96
20000664,   664 Judith (A908 MC),664,Judith,MBA,9.96
20000945,   945 Barcelona (A921 CB),945,Barcelona,MBA,9.96
20001042,  1042 Amazone (1925 HA),1042,Amazone,OMB,9.96
20001245,  1245 Calvinia (1932 KF),1245,Calvinia,MBA,9.96
20001469,  1469 Linzia (1938 QD),1469,Linzia,MBA,9.96
20001529,  1529 Oterma (1938 BC),1529,Oterma,OMB,9.96
20000336,   336 Lacadiera (A892 SA),336,Lacadiera,MBA,9.97
20000734,   734 Benda (A912 TF),734,Benda,MBA,9.97
20000746,   746 Marlu (A913 EJ),746,Marlu,MBA,9.97
20000928,   928 Hildrun (A920 DC),928,Hildrun,MBA,9.97
20001175,  1175 Margo (1930 UD),1175,Margo,OMB,9.97
20001186,  1186 Turnera (1929 PL),1186,Turnera,MBA,9.97
20000442,   442 Eichsfeldia (A899 CA),442,Eichsfeldia,MBA,9.98
20000891,   891 Gunhild (A918 KB),891,Gunhild,MBA,9.98
20000966,   966 Muschi (A921 VD),966,Muschi,MBA,9.98
20001746,  1746 Brouwer (1963 RF),1746,Brouwer,OMB,9.98
20000251,   251 Sophia (A885 TA),251,Sophia,MBA,9.99
20000569,   569 Misa (A905 OE),569,Misa,MBA,9.99
20000633,   633 Zelima (A907 JH),633,Zelima,MBA,9.99
20001115,  1115 Sabauda (1928 XC),1115,Sabauda,MBA,9.99
20001140,  1140 Crimea (1929 YC),1140,Crimea,MBA,9.99
